,Date,DailyReturn,AccReturn
0,2000-08-02,0.0,1.0
1,2000-08-03,0.0,1.0
2,2000-08-04,0.0,1.0
3,2000-08-05,0.0,1.0
4,2000-08-07,0.0,1.0
5,2000-08-08,0.0,1.0
6,2000-08-09,0.0,1.0
7,2000-08-10,0.0,1.0
8,2000-08-11,0.0,1.0
9,2000-08-14,0.0,1.0
10,2000-08-15,0.0,1.0
11,2000-08-16,0.0,1.0
12,2000-08-17,0.0,1.0
13,2000-08-18,0.0,1.0
14,2000-08-19,0.0,1.0
15,2000-08-21,0.0,1.0
16,2000-08-22,0.0,1.0
17,2000-08-24,0.0,1.0
18,2000-08-25,0.0,1.0
19,2000-08-28,0.0,1.0
20,2000-08-29,0.0,1.0
21,2000-08-30,0.0,1.0
22,2000-08-31,0.0,1.0
23,2000-09-01,0.0,1.0
24,2000-09-02,0.0,1.0
25,2000-09-04,0.0,1.0
26,2000-09-05,0.0,1.0
27,2000-09-06,0.0,1.0
28,2000-09-07,0.0,1.0
29,2000-09-08,0.0,1.0
30,2000-09-11,0.0,1.0
31,2000-09-13,0.0,1.0
32,2000-09-14,0.0,1.0
33,2000-09-15,0.0,1.0
34,2000-09-16,0.0,1.0
35,2000-09-18,0.0,1.0
36,2000-09-19,0.0,1.0
37,2000-09-20,0.0,1.0
38,2000-09-21,0.0,1.0
39,2000-09-22,0.0,1.0
40,2000-09-25,0.0,1.0
41,2000-09-26,0.0,1.0
42,2000-09-27,0.0,1.0
43,2000-09-28,0.0,1.0
44,2000-09-29,0.0,1.0
45,2000-09-30,0.0,1.0
46,2000-10-02,0.0,1.0
47,2000-10-03,0.0,1.0
48,2000-10-04,0.0,1.0
49,2000-10-05,0.0,1.0
50,2000-10-06,0.0,1.0
51,2000-10-07,0.0,1.0
52,2000-10-09,0.0,1.0
53,2000-10-11,0.0,1.0
54,2000-10-12,0.0,1.0
